aizvilinājums,Oo po:lietv1r
aizvilinātājs,Oox po:lietv1r
aizvirtnis,Qq po:lietv2r
aizzāģējums,Oo po:lietv1r
aizzēlums,Oo po:lietv1r
aizzīme,Ss po:lietv5r
aizzīmētājs,Oox po:lietv1r
aizzīmogojums,Oo po:lietv1r
aizžogojums,Oo po:lietv1r
aizžogs,OoPp po:lietv1r
ajūrvēda,Ss po:lietv4r
akācija,Ss po:lietv4r
akacis,QqRr po:lietv2r
akadēmija,Ss po:lietv4r
akadēmiķis,Qqx po:lietv2r
akadēmisms,O po:lietv1r
akaroloģija,Ss po:lietv4r
aka,SsTt po:lietv4r
akcelerācija,S po:lietv4r
akcentējums,Oo po:lietv1r
akcents,OoPp po:lietv1r
akcentzīme,Ss po:lietv5r
akceptējums,Oo po:lietv1r
akceptētājs,Oox po:lietv1r
akceptors,Oo po:lietv1r
akcepts,Oo po:lietv1r
akcepttestēšana,S po:lietv4r
akcepttests,Oo po:lietv1r
akcija,Ss po:lietv4r
akcijjosla,Ss po:lietv4r
akcionārs,Oox po:lietv1r
akcīze,Ss po:lietv5r
akermanīts,O po:lietv1r
aklene,Ss po:lietv5r
aklenīte,Ss po:lietv5r
aklība,S po:lietv4r
aklimatizācija,S po:lietv4r
aklparaksts,Oo po:lietv1r
aklums,Oo po:lietv1r
akmenājs,Oo po:lietv1r
akmensapstrāde,Ss po:lietv5r
akmensbute,Ss po:lietv5r
akmenskalns,Oo po:lietv1r
akmensmasa,Ss po:lietv4r
akmensozols,Oo po:lietv1r
akmensplekste,Ss po:lietv5r
akmens,QqRr po:lietv2r
akmentiņš,Oo po:lietv1r
akmeņainība,Ss po:lietv4r
akmeņcauna,Ss po:lietv4r
akmeņgliemezis,Qq po:lietv2r
akmeņgrauzis,QqRr po:lietv2r
akmeņgrāvis,Qq po:lietv2r
akmeņkalis,Qq po:lietv2r
akmeņkaltuve,Ss po:lietv5r
akmeņlauze,Ss po:lietv5r
akmeņlauzīte,Ss po:lietv5r
akmeņlauztuve,Ss po:lietv5r
akmeņogle,Ss po:lietv5r
akmeņplekste,Ss po:lietv5r
akmeņsāls,Oo po:lietv1r
akmeņsegums,Oo po:lietv1r
akmeņšķirsts,Oo po:lietv1r
akmeņupe,Ss po:lietv5r
